ZoneId,TeamId,Level,BgmId,BallId,EncounterRate,HasTimeOfDayRestriction,TimeOfDay,Drops
zone_overworld_street_brown,team-00005-m-school_bullies,2,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00001-churros#1#2#0.45
zone_overworld_street_brown,team-00006-m-pretty_soccer,3,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00008-la_mancha_ratatouille#1#1#0.25
zone_overworld_street_brown,team-00007-m-asphalt_kings,5,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00001-churros#1#2#0.55|item-recovery-00008-la_mancha_ratatouille#1#1#0.35
zone_overworld_park,team-00008-m-dog_walkers,4,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00001-churros#1#2#0.35|item-material-00006-oak_wood#1#2#0.35
zone_overworld_park,team-00009-m-hat_trick,5,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00008-la_mancha_ratatouille#1#1#0.20|item-material-00006-oak_wood#1#2#0.40
zone_overworld_park,team-00010-m-ufo_sightings,7,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00001-churros#1#2#0.40|item-recovery-00008-la_mancha_ratatouille#1#1#0.30|item-material-00006-oak_wood#1#3#0.60
zone_overworld_riverside,team-00011-m-river_flow,8,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00002-mojo_potatoes#1#2#0.40|item-material-00003-sun_dust#1#2#0.35
zone_overworld_riverside,team-00012-m-picnic_squad,10,bgm-battle,ball-00001-default,0.4,FALSE,Day,item-recovery-00009-oxtail_stew#1#1#0.22|item-material-00003-sun_dust#1#2#0.40
zone_overworld_riverside,team-00013-m-bridge_brigade,12,bgm-battle_rare,ball-00001-default,0.2,FALSE,Day,item-recovery-00002-mojo_potatoes#1#2#0.45|item-recovery-00009-oxtail_stew#1#1#0.35|item-material-00003-sun_dust#1#3#0.60
zone_interior_dungeon_dam_f0,team-00014-m-deep_divers,16,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00013-giant_tire#1#1#0.50|item-material-00004-moon_dust#1#2#0.35
zone_interior_dungeon_dam_f0,team-00015-m-whirlpool,18,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00013-giant_tire#1#1#0.50|item-material-00004-moon_dust#1#2#0.40
zone_interior_dungeon_dam_f0,team-00016-m-sewer_rats,20,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00013-giant_tire#1#2#0.70|item-material-00004-moon_dust#1#3#0.60
zone_interior_dungeon_dam_f1,team-00014-m-deep_divers,16,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00013-giant_tire#1#1#0.50|item-material-00004-moon_dust#1#2#0.35
zone_interior_dungeon_dam_f1,team-00015-m-whirlpool,18,bgm-battle,ball-00001-default,0.4,TRUE,Day,item-material-00013-giant_tire#1#1#0.50|item-material-00004-moon_dust#1#2#0.40
zone_interior_dungeon_dam_f1,team-00016-m-sewer_rats,20,bgm-battle_rare,ball-00001-default,0.2,TRUE,Day,item-material-00013-giant_tire#1#2#0.70|item-material-00004-moon_dust#1#3#0.60
