ItemId,Category,SpriteType,SpriteColor,UsageContext,IsSellable,PriceBuyGold,PriceSellGold,IsDiscardable,IsStackable,MaxStack,EquipmentType,EquipmentHp,EquipmentSp,EquipmentKick,EquipmentBody,EquipmentControl,EquipmentGuard,EquipmentSpeed,EquipmentStamina,EquipmentTechnique,EquipmentLuck,EquipmentCourage,FormationId,ImportantPlaceHolder,KitId,MaterialPlaceHolder,MiscPlaceHolder,MoveId,RecoveryAmountHp,RecoveryAmountSp,RecipeId,EmblemId,CharacterId,WingId
item-move-00001-fire_shot,Move,Move,Red,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00001-fire_shot,,,,,,
item-move-00002-heat_burst,Move,Move,Red,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00002-heat_burst,,,,,,
item-move-00003-explosive_break,Move,Move,Red,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00003-explosive_break,,,,,,
item-move-00004-ice_impact,Move,Move,Teal,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00004-ice_impact,,,,,,
item-move-00005-penguin_breaking,Move,Move,Teal,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00005-penguin_breaking,,,,,,
item-move-00006-blizzard_overhead,Move,Move,Teal,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00006-blizzard_overhead,,,,,,
item-move-00007-holy_sword,Move,Move,Gold,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00007-holy_sword,,,,,,
item-move-00008-divine_rain,Move,Move,Gold,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00008-divine_rain,,,,,,
item-move-00009-overlord_overhead,Move,Move,Gold,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00009-overlord_overhead,,,,,,
item-move-00010-killer_slash,Move,Move,Purple,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00010-killer_slash,,,,,,
item-move-00011-death_cross,Move,Move,Purple,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00011-death_cross,,,,,,
item-move-00012-genocide_overhead,Move,Move,Purple,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00012-genocide_overhead,,,,,,
item-move-00013-hurricane_kick,Move,Move,Silver,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00013-hurricane_kick,,,,,,
item-move-00014-wind_tornado,Move,Move,Silver,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00014-wind_tornado,,,,,,
item-move-00015-flying_break,Move,Move,Silver,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00015-flying_break,,,,,,
item-move-00016-axe_kick,Move,Move,Green,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00016-axe_kick,,,,,,
item-move-00017-forest_burst,Move,Move,Green,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00017-forest_burst,,,,,,
item-move-00018-nature_attack,Move,Move,Green,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00018-nature_attack,,,,,,
item-move-00019-rock_kick,Move,Move,Brown,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00019-rock_kick,,,,,,
item-move-00020-sand_tornado,Move,Move,Brown,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00020-sand_tornado,,,,,,
item-move-00021-boulder_volley,Move,Move,Brown,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00021-boulder_volley,,,,,,
item-move-00022-shock_kick,Move,Move,Yellow,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00022-shock_kick,,,,,,
item-move-00023-thunder_impact,Move,Move,Yellow,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00023-thunder_impact,,,,,,
item-move-00024-overdrive,Move,Move,Yellow,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00024-overdrive,,,,,,
item-move-00025-aqua_splash,Move,Move,Blue,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00025-aqua_splash,,,,,,
item-move-00026-aggressive_wave,Move,Move,Blue,OverworldOnly,TRUE,17500,17500,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00026-aggressive_wave,,,,,,
item-move-00027-sea_emperor,Move,Move,Blue,OverworldOnly,TRUE,25000,25000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00027-sea_emperor,,,,,,
item-move-00028-flame_feint,Move,Move,Red,OverworldOnly,TRUE,10000,10000,TRUE,TRUE,999,,,,,,,,,,,,,,,,,,move-00028-flame_feint,,,,,,
