MatchId,TeamId,Level,BattleType,BgmId,BallId,FieldId,HasTimeOfDayRestriction,TimeOfDay
match-00000-test_a,team-00000-b-test_b,1,Full,bgm-battle,ball-00002-crimson,field-00001-stadium_main,FALSE,Day
match-00001-justice_0,team-00003-giant_turtle,25,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00002-justice_1,team-00004-secret_girls,35,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00003-justice_2,team-00006-marceduke,45,Full,bgm-battle,ball-00001-default,field-00004-ground_dirt,FALSE,Day
match-00004-justice_3,team-00012-almudena_prayers,50,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00005-justice_4,team-00005-saint_justice,55,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00006-park_0,team-00010-port_virgin,25,Full,bgm-battle,ball-00001-default,field-00004-ground_dirt,FALSE,Day
match-00007-park_1,team-00007-great_capitain,35,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00008-park_2,team-00008-flying_cierva,45,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00009-park_3,team-00011-garden_rangers,50,Full,bgm-battle,ball-00001-default,field-00003-ground_park,FALSE,Day
match-00010-park_4,team-00009-atena,55,Full,bgm-battle,ball-00001-default,field-00003-ground_park,FALSE,Day
match-00011-death_0,team-00001-m-crimson_flood,99,Full,bgm-battle_crimson,ball-00002-crimson,field-00007-dungeon_dam,FALSE,Day
match-00012-death_1,team-00002-m-crimson_crash,99,Full,bgm-battle_crimson,ball-00002-crimson,field-00008-dungeon_train,FALSE,Day
match-00013-death_2,team-00003-m-crimson_out,99,Full,bgm-battle_crimson,ball-00002-crimson,field-00009-dungeon_power_plant,FALSE,Day
match-00014-death_3,team-00004-m-crimson_fire,99,Full,bgm-battle_crimson,ball-00002-crimson,field-00010-dungeon_volcano,FALSE,Day
match-00015-death_4,team-00014-football_fantasista,99,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00016-final_0,team-00002-crimson_great,99,Full,bgm-battle_simulation_node,ball-00002-crimson,field-00015-dungeon_final,FALSE,Day
match-00017-final_1,team-00001-faith,99,Full,bgm-battle,ball-00001-default,field-00005-soccer_realm_good,FALSE,Day
match-00018-final_2,team-00013-evangegoal,99,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00019-final_3,team-00015-fc_wings,99,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00020-final_4,team-00001-e-real_spain_2026,99,Full,bgm-battle,ball-00001-default,field-00001-stadium_main,FALSE,Day
match-00021-boss_0,team-00001-m-crimson_flood,25,Full,bgm-battle_crimson,ball-00002-crimson,field-00006-soccer_realm_evil,TRUE,Day
match-00022-boss_1,team-00002-m-crimson_crash,35,Full,bgm-battle_crimson,ball-00002-crimson,field-00006-soccer_realm_evil,TRUE,Day
match-00023-boss_2,team-00003-m-crimson_out,45,Full,bgm-battle_crimson,ball-00002-crimson,field-00006-soccer_realm_evil,TRUE,Day
match-00024-boss_3,team-00004-m-crimson_fire,55,Full,bgm-battle_crimson,ball-00002-crimson,field-00006-soccer_realm_evil,TRUE,Day
match-00025-boss_4,team-00002-crimson_great,80,Full,bgm-battle_simulation_node,ball-00002-crimson,field-00015-dungeon_final,TRUE,Day
match-00026-story_0,team-00003-giant_turtle,5,Full,bgm-battle,ball-00001-default,field-00011-saint_justice_ice_blue,FALSE,Day
match-00027-story_1,team-00004-secret_girls,10,Full,bgm-battle,ball-00001-default,field-00011-saint_justice_ice_blue,FALSE,Day
