MatchChainNodeId,MatchChainId,NodeIndex,NodeCategory,MatchId,DropIdB,DropIdA,DropIdS,TextLocalizationKey,ImageAddress,ItemId
match_chain_node-00000-test_a,match_chain-00000-test_a,0,match,match-00000-test_a,item-move-00001-fire_shot,item-move-00001-fire_shot,item-move-00001-fire_shot,,,
match_chain_node-00000-test_b,match_chain-00000-test_a,1,match,match-00000-test_a,item-move-00001-fire_shot,item-move-00001-fire_shot,item-move-00001-fire_shot,,,
match_chain_node-00000-test_c,match_chain-00000-test_a,2,match,match-00000-test_a,item-move-00001-fire_shot,item-move-00001-fire_shot,item-move-00001-fire_shot,,,
match_chain_node-00000-test_d,match_chain-00000-test_a,3,match,match-00000-test_a,item-move-00001-fire_shot,item-move-00001-fire_shot,item-move-00001-fire_shot,,,
match_chain_node-00000-test_e,match_chain-00000-test_a,4,match,match-00000-test_a,item-move-00001-fire_shot,item-move-00001-fire_shot,item-move-00001-fire_shot,,,
match_chain_node-00000-test_f,match_chain-00000-test_a,5,chest,,,,,,,item-move-00001-fire_shot
match_chain_node-00001-justice_0,match_chain-00001-justice,0,match,match-00001-justice_0,item-material-00100-passion_jewel_s,item-move-00078-electron_zone,item-move-00024-overdrive,,,
match_chain_node-00002-justice_1,match_chain-00001-justice,1,match,match-00002-justice_1,item-material-00100-passion_jewel_s,item-move-00066-no_return,item-move-00003-explosive_break,,,
match_chain_node-00003-justice_2,match_chain-00001-justice,2,match,match-00003-justice_2,item-material-00101-passion_jewel_m,item-move-00075-stone_zone,item-move-00021-boulder_volley,,,
match_chain_node-00004-justice_3,match_chain-00001-justice,3,match,match-00004-justice_3,item-material-00101-passion_jewel_m,item-move-00057-burn_zone,item-move-00063-white_light,,,
match_chain_node-00005-justice_4,match_chain-00001-justice,4,match,match-00005-justice_4,item-material-00102-passion_jewel_l,item-move-00060-glacial_slide,item-move-00006-blizzard_overhead,,,
match_chain_node-00006-justice_5,match_chain-00001-justice,5,chest,,,,,,,item-important-00005-shard_joy
match_chain_node-00007-park_0,match_chain-00002-park,0,match,match-00006-park_0,item-material-00100-passion_jewel_s,item-move-00011-death_cross,item-move-00008-divine_rain,,,
match_chain_node-00008-park_1,match_chain-00002-park,1,match,match-00007-park_1,item-material-00100-passion_jewel_s,item-move-00081-swim_slide,item-move-00027-sea_emperor,,,
match_chain_node-00009-park_2,match_chain-00002-park,2,match,match-00008-park_2,item-material-00101-passion_jewel_m,item-move-00069-typhoon_zone,item-move-00015-flying_break,,,
match_chain_node-00010-park_3,match_chain-00002-park,3,match,match-00009-park_3,item-material-00101-passion_jewel_m,item-move-00045-eco_elastico,item-move-00018-nature_attack,,,
match_chain_node-00011-park_4,match_chain-00002-park,4,match,match-00010-park_4,item-material-00102-passion_jewel_l,item-move-00072-sequoia,item-move-00099-forest_trap,,,
match_chain_node-00012-park_5,match_chain-00002-park,5,chest,,,,,,,item-important-00006-shard_love
match_chain_node-00013-death_0,match_chain-00003-death,0,match,match-00011-death_0,item-material-00102-passion_jewel_l,item-move-00054-seaside_dream,item-move-00108-river_drift,,,
match_chain_node-00014-death_1,match_chain-00003-death,1,match,match-00012-death_1,item-material-00102-passion_jewel_l,item-move-00042-gale_scramble,item-move-00096-tempest_trap,,,
match_chain_node-00015-death_2,match_chain-00003-death,2,match,match-00013-death_2,item-material-00102-passion_jewel_l,item-move-00051-lightning_elastico,item-move-00105-zap_trap,,,
match_chain_node-00016-death_3,match_chain-00003-death,3,match,match-00014-death_3,item-move-00057-burn_zone,item-move-00030-salamander_dash,item-move-00084-blazing_mirage,,,
match_chain_node-00017-death_4,match_chain-00003-death,4,match,match-00015-death_4,item-material-00103-passion_jewel_xl,item-material-00103-passion_jewel_xl,item-material-00103-passion_jewel_xl,,,
match_chain_node-00018-death_5,match_chain-00003-death,5,chest,,,,,,,item-equipment-00070-gloves_gk-05
match_chain_node-00019-final_0,match_chain-00004-final,0,match,match-00016-final_0,item-move-00012-genocide_overhead,item-move-00039-demon_dash,item-move-00093-extinction,,,
match_chain_node-00020-final_1,match_chain-00004-final,1,match,match-00017-final_1,item-material-00102-passion_jewel_l,item-move-00048-gaia_elastico,item-move-00102-finisterra,,,
match_chain_node-00021-final_2,match_chain-00004-final,2,match,match-00018-final_2,item-material-00102-passion_jewel_l,item-move-00033-wolf_dash,item-move-00087-eternal_frost,,,
match_chain_node-00022-final_3,match_chain-00004-final,3,match,match-00019-final_3,item-move-00009-overlord_overhead,item-move-00035-paradise_regained,item-move-00090-salvation,,,
match_chain_node-00023-final_4,match_chain-00004-final,4,match,match-00020-final_4,item-material-00103-passion_jewel_xl,item-material-00103-passion_jewel_xl,item-material-00103-passion_jewel_xl,,,
match_chain_node-00024-final_5,match_chain-00004-final,5,chest,,,,,,,item-equipment-00045-cross_good-05
