MoveId,Category,Element,Trait,GrowthType,GrowthRate,Cost,BasePower,StunDamage,AuraDamage,Difficulty,FaultRate,Participants,AllowedElements,AllowedPositions,AllowedGenders,AllowedSizes,RequiredParticipantElements,RequiredParticipantMoves
fire_shot,shoot,fire,none,s,fast,5,10,0,0,0,0,1,,,,,,
heat_burst,shoot,fire,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
explosive_break,shoot,fire,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
ice_impact,shoot,ice,none,s,fast,5,10,0,0,0,0,1,,,,,,
penguin_breaking,shoot,ice,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
blizzard_overhead,shoot,ice,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
holy_sword,shoot,holy,none,s,fast,5,10,0,0,0,0,1,,,,,,
divine_rain,shoot,holy,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
overlord_overhead,shoot,holy,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
killer_slash,shoot,evil,none,s,fast,5,10,0,0,0,0,1,,,,,,
death_cross,shoot,evil,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
genocide_overhead,shoot,evil,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
hurricane_kick,shoot,air,none,s,fast,5,10,0,0,0,0,1,,,,,,
wind_tornado,shoot,air,long,uraga,medium,55,20,0,0,0,0,1,,,,,,
flying_break,shoot,air,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
axe_kick,shoot,forest,none,s,fast,5,10,0,0,0,0,1,,,,,,
forest_burst,shoot,forest,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
nature_attack,shoot,forest,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
rock_kick,shoot,earth,none,s,fast,5,10,0,0,0,0,1,,,,,,
sand_tornado,shoot,earth,block,uraga,medium,55,20,0,0,0,0,1,,,,,,
boulder_volley,shoot,earth,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
shock_kick,shoot,electric,none,s,fast,5,10,0,0,0,0,1,,,,,,
thunder_impact,shoot,electric,block,uraga,medium,55,20,0,0,0,0,1,,,,,,
overdrive,shoot,electric,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
aqua_splash,shoot,water,none,s,fast,5,10,0,0,0,0,1,,,,,,
aggressive_wave,shoot,water,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
sea_emperor,shoot,water,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
flame_feint,dribble,fire,none,s,fast,5,10,0,0,0,0,1,,,,,,
firetrail,dribble,fire,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
salamander_dash,dribble,fire,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
ice_skating,dribble,ice,none,s,fast,5,10,0,0,0,0,1,,,,,,
snow_barrage,dribble,ice,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
wolf_dash,dribble,ice,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
angel_dribble,dribble,holy,none,s,fast,5,10,0,0,0,0,1,,,,,,
paradise_regained,dribble,holy,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
shining_scramble,dribble,holy,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
evil_dribble,dribble,evil,none,s,fast,5,10,0,0,0,0,1,,,,,,
shadow_clone,dribble,evil,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
demon_dash,dribble,evil,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
swift_feint,dribble,air,none,s,fast,5,10,0,0,0,0,1,,,,,,
peacock_wings,dribble,air,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
gale_scramble,dribble,air,none,delchi,slow,40,60,0,0,0,0,1,,,,,,
petal_dribble,dribble,forest,none,s,fast,5,10,0,0,0,0,1,,,,,,
vine_swing,dribble,forest,none,uraga,medium,30,20,0,0,0,0,1,,,,,,
