ScoutTierId,UnlockFlag,CharacterCost,CharacterLevel,CharacterIds
scout_tier-00000,unlocked_scout_tier_0,9999999,99,chara-00001-are
scout_tier-00001,unlocked_scout_tier_1,100,5,chara-00070-teruel|chara-00019-wang|chara-00075-alexander|chara-00017-ainara|chara-00074-paula|chara-00067-satu|chara-00047-carlos|chara-00107-diego|chara-00013-fran|chara-00154-simon|chara-00088-sofireca|chara-00089-roble|chara-00041-kike|chara-00112-fernando|chara-00039-arga|chara-00143-esteban|chara-00095-navarro|chara-00042-gambino|chara-00092-vega|chara-00069-illana|chara-00078-lucia|chara-00058-ruiz|chara-00056-macarena|chara-00018-lape
scout_tier-00002,unlocked_scout_tier_2,500,10,chara-00076-tamara|chara-00001-are|chara-00093-padial|chara-00057-herrero|chara-00123-aragon|chara-00094-galilea|chara-00104-irene|chara-00073-teresa|chara-00065-pedro|chara-00063-victor|chara-00087-sofia|chara-00108-zacarias|chara-00022-demoratan|chara-00106-luz|chara-00115-natalidad|chara-00083-anastasia|chara-00113-aldruco|chara-00127-regina|chara-00032-vera|chara-00149-chulo|chara-00144-serena
scout_tier-00003,unlocked_scout_tier_3,800,15,chara-00025-isidro|chara-00037-pepe|chara-00125-quevedo|chara-00079-alejandra|chara-00008-lucas|chara-00138-meli|chara-00147-manu|chara-00036-flores|chara-00059-bea|chara-00080-cantador|chara-00024-francisco|chara-00026-paloma|chara-00051-eva|chara-00121-sacarosa|chara-00130-angel|chara-00045-miguel|chara-00153-pamela|chara-00012-zarande|chara-00122-enrique|chara-00085-marta|chara-00071-ester
scout_tier-00004,unlocked_scout_tier_4,1000,20,chara-00033-pila|chara-00009-juan|chara-00014-julia|chara-00015-maria|chara-00148-agueda
scout_tier-00005,unlocked_scout_tier_5,1500,25,chara-00044-candela|chara-00086-carolina|chara-00133-alvaro|chara-00134-ignacio|chara-00050-roberto|chara-00090-elena|chara-00142-patricia|chara-00137-ramon|chara-00072-clari|chara-00139-conchi|chara-00146-mar|chara-00131-noa|chara-00046-pablo
scout_tier-00006,unlocked_scout_tier_6,2000,30,chara-00155-porti|chara-00126-ave|chara-00004-raquel|chara-00020-chen|chara-00135-vicente|chara-00084-barbara|chara-00081-tolosa|chara-00097-noelia|chara-00082-lidia|chara-00066-ana|chara-00049-alba
scout_tier-00007,unlocked_scout_tier_7,2500,35,chara-00132-debora|chara-00021-luis|chara-00003-laura|chara-00028-picolo|chara-00136-antonio
scout_tier-00008,unlocked_scout_tier_8,3000,40,chara-00156-pani|chara-00034-samara|chara-00027-almu|chara-00140-isa|chara-00031-pichi|chara-00011-abudera|chara-00053-jorge|chara-00096-nerea
scout_tier-00009,unlocked_scout_tier_9,3500,45,chara-00068-tensi|chara-00091-alma|chara-00060-carmen|chara-00077-beni|chara-00111-aguero|chara-00105-matias|chara-00062-nuria|chara-00152-borja|chara-00029-sumi|chara-00129-bombi|chara-00035-dolores
scout_tier-00010,unlocked_scout_tier_10,4000,50,chara-00157-apa|chara-00101-sancho|chara-00102-don|chara-00103-rocinante|chara-00100-quijote|chara-00128-eterna|chara-00005-puchi|chara-00098-nieves|chara-00118-piruja|chara-00048-nina
scout_tier-00011,unlocked_scout_tier_11,4500,55,chara-00158-hierro|chara-00055-fatima|chara-00052-adan|chara-00061-pio|chara-00145-paco|chara-00006-mateo|chara-00099-elisa
scout_tier-00012,unlocked_scout_tier_12,5000,60,chara-00114-lola|chara-00120-azucar|chara-00151-banderas|chara-00116-malasana
scout_tier-00013,unlocked_scout_tier_13,20000,75,chara-00141-uraisa|chara-00110-isaac|chara-00002-mohamed|chara-00119-meiga|chara-00010-ali|chara-00124-inquina|chara-00016-guli|chara-00109-begona|chara-00040-malaki|chara-00023-ayud|chara-00054-gura|chara-00030-nervor|chara-00043-ima
