ShopId,CurrencyType,ItemIds
shop-00000-test,Gold,item-move-00001-fire_shot|item-equipment-00001-spike_fw-01|item-recovery-00015-paella|item-material-00032-carrot
shop-00001-recovery_a,Gold,item-recovery-00001-churros|item-recovery-00002-mojo_potatoes|item-recovery-00008-la_mancha_ratatouille|item-recovery-00009-oxtail_stew
shop-00002-recovery_b,Gold,item-recovery-00003-brave_potatoes|item-recovery-00004-croquettes|item-recovery-00010-pil_pil_cod|item-recovery-00011-galician_octopus
shop-00003-recovery_c,Gold,item-recovery-00005-calamari_sandwich|item-recovery-00006-ham_cheese_sandwich|item-recovery-00012-asturian_bean_stew|item-recovery-00013-madrid_chickpea_stew
shop-00004-recovery_d,Gold,item-recovery-00007-gazpacho|item-recovery-00014-spanish_omelette|item-recovery-00015-paella
shop-00005-equiment_a,Gold,item-equipment-00001-spike_fw-01|item-equipment-00006-spike_mf-01|item-equipment-00011-spike_df-01|item-equipment-00016-spike_gk-01|item-equipment-00021-bracelet_fw-01|item-equipment-00026-bracelet_mf-01|item-equipment-00031-bracelet_df-01|item-equipment-00036-bracelet_gk-01|item-equipment-00041-cross_good-01|item-equipment-00046-cross_evil-01|item-equipment-00051-pendant_fw-01|item-equipment-00056-pendant_mf-01|item-equipment-00061-pendant_df-01|item-equipment-00066-gloves_gk-01
shop-00006-equiment_b,Gold,item-equipment-00002-spike_fw-02|item-equipment-00003-spike_fw-03|item-equipment-00007-spike_mf-02|item-equipment-00008-spike_mf-03|item-equipment-00012-spike_df-02|item-equipment-00013-spike_df-03|item-equipment-00017-spike_gk-02|item-equipment-00018-spike_gk-03|item-equipment-00022-bracelet_fw-02|item-equipment-00023-bracelet_fw-03|item-equipment-00027-bracelet_mf-02|item-equipment-00028-bracelet_mf-03|item-equipment-00032-bracelet_df-02|item-equipment-00033-bracelet_df-03|item-equipment-00037-bracelet_gk-02|item-equipment-00038-bracelet_gk-03|item-equipment-00042-cross_good-02|item-equipment-00043-cross_good-03|item-equipment-00047-cross_evil-02|item-equipment-00048-cross_evil-03|item-equipment-00052-pendant_fw-02|item-equipment-00053-pendant_fw-03|item-equipment-00057-pendant_mf-02|item-equipment-00058-pendant_mf-03|item-equipment-00062-pendant_df-02|item-equipment-00063-pendant_df-03|item-equipment-00067-gloves_gk-02|item-equipment-00068-gloves_gk-03
shop-00007-equiment_c,Gold,item-equipment-00004-spike_fw-04|item-equipment-00009-spike_mf-04|item-equipment-00014-spike_df-04|item-equipment-00019-spike_gk-04|item-equipment-00024-bracelet_fw-04|item-equipment-00029-bracelet_mf-04|item-equipment-00034-bracelet_df-04|item-equipment-00039-bracelet_gk-04|item-equipment-00044-cross_good-04|item-equipment-00049-cross_evil-04|item-equipment-00054-pendant_fw-04|item-equipment-00059-pendant_mf-04|item-equipment-00064-pendant_df-04|item-equipment-00069-gloves_gk-04
shop-00008-equiment_d,Gold,item-equipment-00005-spike_fw-05|item-equipment-00010-spike_mf-05|item-equipment-00015-spike_df-05|item-equipment-00020-spike_gk-05|item-equipment-00025-bracelet_fw-05|item-equipment-00030-bracelet_mf-05|item-equipment-00035-bracelet_df-05|item-equipment-00040-bracelet_gk-05|item-equipment-00045-cross_good-05|item-equipment-00050-cross_evil-05|item-equipment-00055-pendant_fw-05|item-equipment-00060-pendant_mf-05|item-equipment-00065-pendant_df-05|item-equipment-00070-gloves_gk-05
shop-00009-move_a,Gold,item-move-00001-fire_shot|item-move-00004-ice_impact|item-move-00007-holy_sword|item-move-00010-killer_slash|item-move-00013-hurricane_kick|item-move-00016-axe_kick|item-move-00019-rock_kick|item-move-00022-shock_kick|item-move-00025-aqua_splash|item-move-00028-flame_feint|item-move-00031-ice_skating|item-move-00034-angel_dribble|item-move-00037-evil_dribble|item-move-00040-swift_feint|item-move-00043-petal_dribble|item-move-00046-mole_dribble|item-move-00049-bolt_feint|item-move-00052-tide_feint|item-move-00055-blaze_defense|item-move-00058-ice_block|item-move-00061-saint_cut|item-move-00064-dark_block|item-move-00067-breeze_defense|item-move-00070-the_tree|item-move-00073-earth_defense|item-move-00076-electric_charge|item-move-00079-shell_wall|item-move-00082-ash_spirits|item-move-00085-frostfall|item-move-00088-the_sun|item-move-00091-the_moon|item-move-00094-storm_spirits|item-move-00097-nature_spirits|item-move-00100-canyon_catch|item-move-00103-magnet_catch|item-move-00106-sea_anemone
shop-00010-move_b,Gold,item-move-00002-heat_burst|item-move-00005-penguin_breaking|item-move-00008-divine_rain|item-move-00011-death_cross|item-move-00014-wind_tornado|item-move-00017-forest_burst|item-move-00020-sand_tornado|item-move-00023-thunder_impact|item-move-00026-aggressive_wave|item-move-00029-firetrail|item-move-00032-snow_barrage|item-move-00035-paradise_regained|item-move-00038-shadow_clone|item-move-00041-peacock_dance|item-move-00044-vine_swing|item-move-00047-world_tour|item-move-00050-transmission|item-move-00053-water_walk|item-move-00056-pyro_protector|item-move-00059-snow_house_shield|item-move-00062-sacred_shield|item-move-00065-poison_fog|item-move-00068-sprinter_cutter|item-move-00071-flower_cutter|item-move-00074-sand_guard|item-move-00077-plasma_shock|item-move-00080-man_eater_whale|item-move-00083-infernal_world|item-move-00086-frozen_world|item-move-00089-reflection|item-move-00092-other_world|item-move-00095-extreme_cyclone|item-move-00098-vine_bind|item-move-00101-desert_world|item-move-00104-wire_world|item-move-00107-deep_world
