TeamId,KitId,EmblemId,Lv,FullBattleFormationId,FullBattleCharacterId0,FullBattleCharacterId1,FullBattleCharacterId2,FullBattleCharacterId3,FullBattleCharacterId4,FullBattleCharacterId5,FullBattleCharacterId6,FullBattleCharacterId7,FullBattleCharacterId8,FullBattleCharacterId9,FullBattleCharacterId10,FullBattleCharacterId11,FullBattleCharacterId12,FullBattleCharacterId13,FullBattleCharacterId14,FullBattleCharacterId15,MiniBattleFormationId,MiniBattleCharacterId0,MiniBattleCharacterId1,MiniBattleCharacterId2,MiniBattleCharacterId3
team-00000-a-test_a,kit-00001-faith,emblem-00001-s-faith_selection,99,ffull-001-faith,chara-00095-navarro,chara-00017-ainara,chara-00070-teruel,chara-00075-alexander,chara-00019-wang,chara-00067-satu,chara-00001-are,chara-00013-fran,chara-00103-rocinante,chara-00027-almu,chara-00088-sofireca,chara-00119-meiga,chara-00002-mohamed,chara-00157-apa,chara-00010-ali,chara-00154-simon,fmini-001-offense,chara-00095-navarro,chara-00075-alexander,chara-00013-fran,chara-00027-almu
team-00000-b-test_b,kit-00002-crimson,emblem-00002-s-crimson_selection,99,ffull-002-crimson,chara-00010-ali,chara-00124-inquina,chara-00157-apa,chara-00048-nina,chara-00117-ruperta,chara-00042-gambino,chara-00040-malaki,chara-00140-isa,chara-00023-ayud,chara-00002-mohamed,chara-00119-meiga,,,,,,fmini-002-defense,chara-00010-ali,chara-00048-nina,chara-00119-meiga,chara-00002-mohamed
team-00001-s-faith_selection,kit-00001-faith,emblem-00001-s-faith_selection,99,ffull-001-faith,chara-00095-navarro,chara-00017-ainara,chara-00070-teruel,chara-00075-alexander,chara-00019-wang,chara-00067-satu,chara-00001-are,chara-00013-fran,chara-00103-rocinante,chara-00027-almu,chara-00088-sofireca,chara-00119-meiga,chara-00002-mohamed,chara-00157-apa,chara-00010-ali,chara-00154-simon,fmini-001-offense,chara-00095-navarro,chara-00075-alexander,chara-00013-fran,chara-00027-almu
team-00002-s-crimson_selection,kit-00002-crimson,emblem-00002-s-crimson_selection,99,ffull-002-crimson,chara-00010-ali,chara-00124-inquina,chara-00157-apa,chara-00048-nina,chara-00117-ruperta,chara-00042-gambino,chara-00040-malaki,chara-00140-isa,chara-00023-ayud,chara-00002-mohamed,chara-00119-meiga,,,,,,fmini-002-defense,chara-00010-ali,chara-00048-nina,chara-00119-meiga,chara-00002-mohamed
team-00001-faith,kit-00001-faith,emblem-00001-faith,99,ffull-001-faith,chara-00155-porti,chara-00157-apa,chara-00019-wang,chara-00075-alexander,chara-00017-ainara,chara-00067-satu,chara-00001-are,chara-00156-pani,chara-00013-fran,chara-00158-hierro,chara-00154-simon,chara-00070-teruel,chara-00074-paula,chara-00107-diego,chara-00047-carlos,chara-00088-sofireca,fmini-001-offense,chara-00070-teruel,chara-00067-satu,chara-00001-are,chara-00154-simon
team-00002-crimson_great,kit-00002-crimson,emblem-00002-crimson_great,99,ffull-002-crimson,chara-00010-ali,chara-00124-inquina,chara-00016-guli,chara-00109-begona,chara-00048-nina,chara-00040-malaki,chara-00023-ayud,chara-00054-gura,chara-00030-nervor,chara-00002-mohamed,chara-00119-meiga,chara-00043-ima,chara-00116-malasana,chara-00132-debora,chara-00096-nerea,chara-00077-beni,fmini-002-defense,chara-00010-ali,chara-00124-inquina,chara-00040-malaki,chara-00002-mohamed
team-00003-giant_turtle,kit-00003-balance,emblem-00003-giant_turtle,99,ffull-006-barrier,chara-00095-navarro,chara-00089-roble,chara-00042-gambino,chara-00041-kike,chara-00075-alexander,chara-00019-wang,chara-00107-diego,chara-00001-are,chara-00013-fran,chara-00047-carlos,chara-00112-fernando,chara-00039-arga,chara-00143-esteban,,,,fmini-002-defense,chara-00095-navarro,chara-00019-wang,chara-00013-fran,chara-00047-carlos
team-00004-secret_girls,kit-00004-enigma,emblem-00004-secret_girls,99,ffull-005-starlight,chara-00070-teruel,chara-00092-vega,chara-00074-paula,chara-00017-ainara,chara-00069-illana,chara-00078-lucia,chara-00058-ruiz,chara-00056-macarena,chara-00067-satu,chara-00018-lape,chara-00088-sofireca,chara-00076-tamara,,,,,fmini-002-defense,chara-00070-teruel,chara-00017-ainara,chara-00067-satu,chara-00088-sofireca
team-00005-saint_justice,kit-00005-hope,emblem-00005-saint_justice,99,ffull-005-starlight,chara-00044-candela ,chara-00086-carolina,chara-00133-alvaro,chara-00093-padial,chara-00057-herrero,chara-00134-ignacio,chara-00094-galilea,chara-00050-roberto,chara-00085-marta,chara-00079-alejandra,chara-00090-elena,chara-00148-agueda,,,,,fmini-002-defense,chara-00044-candela,chara-00093-padial,chara-00094-galilea,chara-00090-elena
team-00006-marceduke,kit-00004-enigma,emblem-00006-marceduke,99,ffull-001-faith,chara-00087-sofia  ,chara-00108-zacarias,chara-00022-demoratan,chara-00106-luz ,chara-00123-aragon,chara-00115-natalidad ,chara-00083-anastasia,chara-00113-aldruco    ,chara-00127-regina,chara-00032-vera,chara-00149-chulo,chara-00144-serena,,,,,fmini-002-defense,chara-00087-sofia  ,chara-00022-demoratan,chara-00113-aldruco    ,chara-00149-chulo
