WingId,WingType,WingColorType,ElementMain,ElementSub,WingGrowthType,WingGrowthRate,KickBase,BodyBase,ControlBase,GuardBase,SpeedBase,StaminaBase,TechniqueBase,LuckBase,CourageBase,KickIndividual,BodyIndividual,ControlIndividual,GuardIndividual,SpeedIndividual,StaminaIndividual,TechniqueIndividual,LuckIndividual,CourageIndividual,PassiveSkillId
wing-00001-angel,Feathered,White,Holy,Air,book,fast,10,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,31,
wing-00002-devil,Bat,Black,Evil,Air,book,fast,20,0,0,10,0,0,0,0,0,31,0,0,0,0,0,0,0,0,
wing-00003-phoenix,Feathered,Red,Fire,Ice,book,fast,18,0,0,0,8,0,0,4,0,31,0,0,0,0,0,0,0,0,
wing-00004-seraph,Feathered,Gold,Fire,Holy,book,fast,0,0,12,0,10,0,10,0,0,0,0,31,0,0,0,0,0,0,
wing-00005-hellfire,Bat,Maroon,Fire,Evil,book,fast,15,8,0,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,
wing-00006-solar,Feathered,Orange,Fire,Air,book,fast,12,0,8,0,15,0,0,0,0,0,0,0,0,31,0,0,0,0,
wing-00007-autumn,Feathered,Carrot,Fire,Forest,book,fast,10,0,5,0,10,10,0,0,0,0,0,0,0,0,31,0,0,0,
wing-00008-magma,Lizard,Bronze,Fire,Earth,book,fast,10,12,0,8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00009-stormflare,Feathered,Yellow,Fire,Electric,book,fast,10,0,5,0,15,0,0,0,0,0,0,0,0,31,0,0,0,0,
wing-00010-steam,Feathered,Silver,Fire,Water,book,fast,8,0,10,0,8,0,8,0,0,0,0,0,0,0,0,31,0,0,
wing-00011-glacier,Feathered,Sky,Ice,Holy,book,fast,0,10,10,0,0,10,5,0,0,0,31,0,0,0,0,0,0,0,
wing-00012-nightfrost,Bat,Navy,Ice,Evil,book,fast,0,8,12,5,0,10,0,0,0,0,0,31,0,0,0,0,0,0,
wing-00013-blizzard,Feathered,Bluegray,Ice,Air,book,fast,0,0,10,0,15,5,5,0,0,0,0,0,0,31,0,0,0,0,
wing-00014-everfrost,Feathered,Pale_Green,Ice,Forest,book,fast,0,0,10,0,5,15,5,0,0,0,0,0,0,0,31,0,0,0,
wing-00015-crystal,Lizard,Ceramic,Ice,Earth,book,fast,0,12,8,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00016-thunderhail,Feathered,Light,Ice,Electric,book,fast,5,0,10,0,10,0,10,0,0,0,0,0,0,0,0,31,0,0,
wing-00017-frostwave,Feathered,Blue,Ice,Water,book,fast,0,0,15,0,5,10,5,0,0,0,0,31,0,0,0,0,0,0,
wing-00018-judgment,Feathered,Platinum,Holy,Evil,book,fast,10,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,31,0,
wing-00019-verdant,Feathered,Forest,Holy,Forest,book,fast,0,0,12,0,10,8,5,0,0,0,0,31,0,0,0,0,0,0,
wing-00020-paladin,Feathered,Iron,Holy,Earth,book,fast,5,10,10,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00021-radiant,Feathered,Amber,Holy,Electric,book,fast,5,0,10,0,10,0,10,0,0,0,0,0,0,0,0,31,0,0,
wing-00022-tideblessing,Feathered,Pixie,Holy,Water,book,fast,0,0,10,5,5,10,10,0,0,0,0,0,0,0,0,0,31,0,
wing-00023-nightmare,Bat,Raven,Evil,Forest,book,fast,10,10,0,5,5,5,0,0,0,0,31,0,0,0,0,0,0,0,
wing-00024-gargoyle,Lizard,Gray,Evil,Earth,book,fast,5,15,0,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00025-voidspark,Bat,Purple,Evil,Electric,book,fast,10,5,5,0,10,0,0,0,0,31,0,0,0,0,0,0,0,0,
wing-00026-abyss,Bat,Teal,Evil,Water,book,fast,10,5,5,5,0,10,0,0,0,0,0,31,0,0,0,0,0,0,
wing-00027-sylph,Feathered,Green,Air,Forest,book,fast,0,0,10,0,15,5,5,0,0,0,0,0,0,31,0,0,0,0,
wing-00028-duststorm,Feathered,Taupe,Air,Earth,book,fast,5,5,5,5,10,5,5,0,0,0,0,0,0,0,31,0,0,0,
wing-00029-tempest,Feathered,Violet,Air,Electric,book,fast,5,0,10,0,15,0,5,0,0,0,0,0,0,0,0,31,0,0,
wing-00030-seagale,Feathered,Sky,Air,Water,book,fast,0,0,10,0,12,8,5,0,0,0,0,31,0,0,0,0,0,0,
wing-00031-dryad,Feathered,Forest,Forest,Earth,book,fast,5,8,10,5,0,10,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00032-thornspark,Feathered,Bright_Green,Forest,Electric,book,fast,8,0,8,0,10,5,7,0,0,0,0,0,0,0,0,31,0,0,
wing-00033-lotus,Feathered,Rose,Forest,Water,book,fast,0,0,12,0,5,10,8,0,0,0,0,31,0,0,0,0,0,0,
wing-00034-voltaic,Lizard,Yellow,Earth,Electric,book,fast,5,12,5,10,0,3,0,0,0,0,0,0,31,0,0,0,0,0,
wing-00035-marsh,Lizard,Olive,Earth,Water,book,fast,5,10,5,8,0,7,0,0,0,0,0,0,0,0,31,0,0,0,
wing-00036-leviathan,Lizard,Dragonfly,Electric,Water,book,fast,10,5,8,0,10,0,2,0,0,0,0,0,0,0,0,31,0,0,
